Asvi,AsviR,Sexe,Age,Tage,Couple,Vmatri,Diplome,Occupa,Work,statut,Herit,Pere,Mere,Gparp,gparm,Jgrav,Livep,Epalo,fepsal,vmob,livdf,pel,cel,qpep,asdecv,Retrait,Qpea,Urbani,Zeat,Nbenf,Nbenfq,Iogoc,terre,dette,bdetre,hdetvo,ident
AsN,1,Sf,51,T60,CouO,Vmar,Dbac,Oact,Wemp,spriv,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplN,fesO,vmoO,ldfO,pelN,celN,qppN,asdN,RepN,QpeO,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00031
AsN,1,Sf,38,T40,CouO,Vmar,Db+5,Oact,Wemp,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivN,EplN,fesO,vmoN,ldfN,pelN,celN,qppN,asdN,RepO,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detO,bemO,hevN,00032
AsN,1,Sh,30,T40,CouO,Vcel,Db+5,Oact,WctA,spub,HerN,PerO,MerO,GppO,gpmO,JgvN,LivN,EplO,fesN,vmoN,ldfN,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detO,bemN,hevO,00033
AsO,0,Sh,91,T80,CouO,Vmar,Dtec,Oret,WctC,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,2,Nbe2,Iloc,terN,detN,bemN,hevN,00034
AsO,0,Sf,80,T80,CouO,Vmar,Dtec,Oret,Wemp,spub,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,2,Nbe2,Iloc,terN,detN,bemN,hevN,00035
AsN,1,Sh,63,T70,CouO,Vmar,Db+5,Oret,WctA,spub,HerN,PerN,MerN,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoO,ldfN,pelN,celN,qppN,asdN,RepN,QpeO,U5,Zidf,2,Nbe2,Iloc,terN,detN,bemN,hevN,00036
AsN,1,Sf,62,T70,CouO,Vmar,Db+5,Oact,WctA,spub,HerN,PerN,MerN,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoO,ldfN,pelN,celN,qppN,asdN,RepN,QpeO,U5,Zidf,2,Nbe2,Iloc,terN,detN,bemN,hevN,00037
AsN,1,Sh,59,T60,CouO,Vmar,Dcep,Oina,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoO,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Ipro,terN,detO,bemO,hevN,00038
AsN,1,Sf,57,T60,CouO,Vmar,Dcep,Oact,Wemp,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplO,fesN,vmoN,ldfN,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Ipro,terN,detO,bemO,hevN,00039
AsN,1,Sh,40,T50,CouO,Vcel,Db+5,Oact,WctA,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00040
